SKU,init_stock,vlt
HOBBIES_1_004_CA_2_evaluation,26,2
HOBBIES_1_008_CA_2_evaluation,58,1
HOBBIES_1_014_CA_2_evaluation,9,1
HOBBIES_1_015_CA_2_evaluation,45,2
HOBBIES_1_016_CA_2_evaluation,28,1
HOBBIES_1_021_CA_2_evaluation,4,4
HOBBIES_1_043_CA_2_evaluation,15,1
HOBBIES_1_048_CA_2_evaluation,64,1
HOBBIES_1_079_CA_2_evaluation,3,2
HOBBIES_1_085_CA_2_evaluation,6,2
HOBBIES_1_103_CA_2_evaluation,14,1
HOBBIES_1_105_CA_2_evaluation,6,1
HOBBIES_1_108_CA_2_evaluation,7,1
HOBBIES_1_134_CA_2_evaluation,42,3
HOBBIES_1_144_CA_2_evaluation,5,3
HOBBIES_1_148_CA_2_evaluation,5,2
HOBBIES_1_149_CA_2_evaluation,5,3
HOBBIES_1_151_CA_2_evaluation,5,1
HOBBIES_1_157_CA_2_evaluation,7,2
HOBBIES_1_173_CA_2_evaluation,3,1
HOBBIES_1_178_CA_2_evaluation,75,1
HOBBIES_1_179_CA_2_evaluation,6,2
HOBBIES_1_189_CA_2_evaluation,23,2
HOBBIES_1_201_CA_2_evaluation,5,2
HOBBIES_1_215_CA_2_evaluation,17,1
HOBBIES_1_244_CA_2_evaluation,27,2
HOBBIES_1_254_CA_2_evaluation,25,3
HOBBIES_1_256_CA_2_evaluation,49,1
HOBBIES_1_279_CA_2_evaluation,9,3
HOBBIES_1_287_CA_2_evaluation,8,2
HOBBIES_1_297_CA_2_evaluation,5,1
HOBBIES_1_319_CA_2_evaluation,17,3
HOBBIES_1_323_CA_2_evaluation,10,2
HOBBIES_1_324_CA_2_evaluation,3,2
HOBBIES_1_329_CA_2_evaluation,10,3
HOBBIES_1_337_CA_2_evaluation,15,6
HOBBIES_1_341_CA_2_evaluation,48,2
HOBBIES_1_348_CA_2_evaluation,63,2
HOBBIES_1_350_CA_2_evaluation,1,1
HOBBIES_1_356_CA_2_evaluation,7,1
HOBBIES_1_364_CA_2_evaluation,5,6
HOBBIES_1_370_CA_2_evaluation,26,1
HOBBIES_1_371_CA_2_evaluation,50,1
HOBBIES_1_379_CA_2_evaluation,5,1
HOBBIES_1_381_CA_2_evaluation,29,2
HOBBIES_1_404_CA_2_evaluation,42,3
HOBBIES_1_416_CA_2_evaluation,8,2
HOBBIES_1_420_CA_2_evaluation,12,6
HOUSEHOLD_1_003_CA_2_evaluation,8,2
HOUSEHOLD_1_007_CA_2_evaluation,11,1
HOUSEHOLD_1_012_CA_2_evaluation,7,1
HOUSEHOLD_1_014_CA_2_evaluation,10,2
HOUSEHOLD_1_025_CA_2_evaluation,5,4
HOUSEHOLD_1_027_CA_2_evaluation,22,2
HOUSEHOLD_1_038_CA_2_evaluation,8,2
HOUSEHOLD_1_047_CA_2_evaluation,0,1
HOUSEHOLD_1_048_CA_2_evaluation,9,1
HOUSEHOLD_1_055_CA_2_evaluation,27,1
HOUSEHOLD_1_061_CA_2_evaluation,14,1
HOUSEHOLD_1_072_CA_2_evaluation,28,1
HOUSEHOLD_1_075_CA_2_evaluation,8,3
HOUSEHOLD_1_079_CA_2_evaluation,10,1
HOUSEHOLD_1_082_CA_2_evaluation,4,3
HOUSEHOLD_1_083_CA_2_evaluation,36,1
HOUSEHOLD_1_087_CA_2_evaluation,9,1
HOUSEHOLD_1_095_CA_2_evaluation,2,1
HOUSEHOLD_1_099_CA_2_evaluation,11,2
HOUSEHOLD_1_107_CA_2_evaluation,13,2
HOUSEHOLD_1_121_CA_2_evaluation,2,3
HOUSEHOLD_1_122_CA_2_evaluation,13,3
HOUSEHOLD_1_129_CA_2_evaluation,12,2
HOUSEHOLD_1_141_CA_2_evaluation,1,2
HOUSEHOLD_1_153_CA_2_evaluation,6,2
HOUSEHOLD_1_158_CA_2_evaluation,11,1
HOUSEHOLD_1_165_CA_2_evaluation,9,1
HOUSEHOLD_1_170_CA_2_evaluation,10,4
HOUSEHOLD_1_176_CA_2_evaluation,9,1
HOUSEHOLD_1_188_CA_2_evaluation,9,1
HOUSEHOLD_1_192_CA_2_evaluation,2,1
HOUSEHOLD_1_194_CA_2_evaluation,18,1
HOUSEHOLD_1_197_CA_2_evaluation,14,10
HOUSEHOLD_1_198_CA_2_evaluation,26,1
HOUSEHOLD_1_202_CA_2_evaluation,8,4
HOUSEHOLD_1_204_CA_2_evaluation,3,2
HOUSEHOLD_1_205_CA_2_evaluation,15,1
HOUSEHOLD_1_212_CA_2_evaluation,9,1
HOUSEHOLD_1_215_CA_2_evaluation,12,1
HOUSEHOLD_1_218_CA_2_evaluation,10,2
HOUSEHOLD_1_220_CA_2_evaluation,8,2
HOUSEHOLD_1_232_CA_2_evaluation,0,1
HOUSEHOLD_1_235_CA_2_evaluation,13,3
HOUSEHOLD_1_238_CA_2_evaluation,9,3
HOUSEHOLD_1_241_CA_2_evaluation,12,2
HOUSEHOLD_1_243_CA_2_evaluation,9,2
HOUSEHOLD_1_247_CA_2_evaluation,7,3
HOUSEHOLD_1_249_CA_2_evaluation,12,2
HOUSEHOLD_1_262_CA_2_evaluation,30,2
HOUSEHOLD_1_268_CA_2_evaluation,6,1
HOUSEHOLD_1_275_CA_2_evaluation,21,2
HOUSEHOLD_1_280_CA_2_evaluation,9,1
